aclu_id,display_name,running_in_2018,running_for_president
971,Rep. Kay Granger,1,0
977,Rep. Mac Thornberry,1,0
983,Rep. Randy Weber,1,0
989,Rep. Vicente Gonzalez,1,0
955,Rep. Beto O'Rourke,0,1
956,Rep. Bill Flores,1,0
986,Rep. Sheila Jackson Lee,1,0
964,Rep. Jodey Arrington,1,0
963,Rep. Joaquin Castro,1,0
974,Rep. Lamar Smith (R-TX-21,0,0
981,Rep. Pete Olson,1,0
990,Rep. Will Hurd,1,0
972,"Rep. Kenny ""Ken"" Marchant",1,0
984,Rep. Roger Williams,1,0
979,"Rep. Michael ""Mike"" Burgess",1,0
961,Rep. Henry Cuellar,1,0
960,Rep. Gene Green,0,0
958,Rep. Eddie Johnson,1,0
966,Rep. John Carter,1,0
982,Rep. Pete Sessions,1,0
978,Rep. Marc Veasey,1,0
959,Rep. Filemon Vela,1,0
975,Rep. Lloyd Doggett,1,0
957,Rep. Brian Babin,1,0
995,Rep. Rob Bishop,1,0
991,Rep. Chris Stewart,1,0
1049,Rep. John Curtis,1,0
992,Rep. Mia Love,1,0
1005,Rep. Rob Wittman,1,0
1006,Rep. Scott Taylor,1,0
1004,Rep. Bobby Scott,1,0
996,"Rep. A. Donald ""Donald"" McEachin",1,0
1007,"Rep. Thomas ""Tom"" Garrett",0,0
998,Rep. Bob Goodlatte,0,0
999,Rep. Dave Brat,1,0
1000,Rep. Don Beyer,1,0
1002,Rep. Morgan Griffith,1,0
997,Rep. Barbara Comstock,1,0
1001,Rep. Gerry Connolly,1,0
1012,Rep. Peter Welch,1,0
1024,Rep. Suzan DelBene,1,0
1023,Rep. Rick Larsen,1,0
1019,Rep. Jaime Herrera Beutler,1,0
1015,Rep. Dan Newhouse,1,0
1014,Rep. Cathy McMorris Rodgers,1,0
1018,Rep. Derek Kilmer,1,0
1022,Rep. Pramila Jayapal,1,0
1016,Rep. Dave Reichert,0,0
1013,Rep. Adam Smith,1,0
1017,Rep. Denny Heck,1,0
1030,Speaker Paul Ryan,0,0
1028,Rep. Mark Pocan,1,0
1032,Rep. Ron Kind,1,0
1027,Rep. Gwen Moore,1,0
1025,Rep. Jim Sensenbrenner,1,0
1026,Rep. Glenn Grothman,1,0
1033,Rep. Sean Duffy,1,0
1029,"Rep. Michael ""Mike"" Gallagher",1,0
1036,Rep. David McKinley,1,0
1035,Rep. Alex Mooney,1,0
1037,Rep. Evan Jenkins,0,0
1041,Rep. Liz Cheney,1,0
