Representative,State + District,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H256: On H.R. 1628: American Health Care Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H342: On H.R. 3003: No Sanctuary for Criminals Act,H344: On H.R. 3004: Kate's Law,H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H188: On H.R. 5698: Protect and Serve Act of 2018,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H18): ICE Authorization Act,Judiciary committee vote (H17): Legal Workforce Act,Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act
,,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed
Rep. Josh Gottheimer (D-NJ-5),NJ-05,D,64%,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Frank Pallone (D-NJ-6),NJ-06,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Leonard Lance (R-NJ-7),NJ-07,R,14%,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Albio Sires (D-NJ-8),NJ-08,D,74%,1,1,0,Missed,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Pascrell (D-NJ-9),NJ-09,D,78%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Donald Payne (D-NJ-10),NJ-10,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Rodney Frelinghuysen (R-NJ-11),NJ-11,R,11%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bonnie Watson Coleman (D-NJ-12),NJ-12,D,96%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Michelle Lujan Grisham (D-NM-1),NM-01,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Pearce (R-NM-2),NM-02,R,15%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Missed,Missed,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Ben ""Ben Ray"" Lujan (D-NM-3)",NM-03,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dina Titus (D-NV-1),NV-01,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark Amodei (R-NV-2),NV-02,R,4%,0,0,1,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Jacklyn ""Jacky"" Rosen (D-NV-3)",NV-03,D,67%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Missed,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ruben Kihuen (D-NV-4),NV-04,D,85%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Missed,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lee Zeldin (R-NY-1),NY-01,R,14%,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Pete King (R-NY-2),NY-02,R,3%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
"Rep. Thomas ""Tom"" Suozzi (D-NY-3)",NY-03,D,77%,1,1,0,1,1,1,1,1,Missed,0,1,1,1,1,Missed,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Kathleen Rice (D-NY-4),NY-04,D,75%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Gregory Meeks (D-NY-5),NY-05,D,81%,1,1,0,Missed,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Grace Meng (D-NY-6),NY-06,D,81%,1,1,0,1,1,1,Missed,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Nydia Velazquez (D-NY-7),NY-07,D,96%,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Hakeem Jeffries (D-NY-8),NY-08,D,83%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Missed,Missed,Missed,Missed,Missed,Not on committee,1,0
Rep. Yvette Clarke (D-NY-9),NY-09,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jerry Nadler (D-NY-10),NY-10,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Not on committee,1,1
"Rep. Daniel ""Dan"" Donovan (R-NY-11)",NY-11,R,7%,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Carolyn Maloney (D-NY-12),NY-12,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Adriano Espaillat (D-NY-13),NY-13,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Joseph ""Joe"" Crowley (D-NY-14)",NY-14,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jose Serrano (D-NY-15),NY-15,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Eliot Engel (D-NY-16),NY-16,D,93%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Nita Lowey (D-NY-17),NY-17,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Sean Maloney (D-NY-18),NY-18,D,75%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Faso (R-NY-19),NY-19,R,18%,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Paul Tonko (D-NY-20),NY-20,D,89%,1,1,0,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Elise Stefanik (R-NY-21),NY-21,R,14%,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. Claudia Tenney (R-NY-22),NY-22,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom Reed (R-NY-23),NY-23,R,15%,0,0,1,0,0,0,Missed,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Katko (R-NY-24),NY-24,R,22%,0,0,1,0,0,0,0,1,0,Missed,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,NY-25,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Brian Higgins (D-NY-26),NY-26,D,67%,1,1,0,1,1,1,1,1,0,0,1,0,1,1,Missed,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Chris Collins (R-NY-27),NY-27,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Chabot (R-OH-1),OH-01,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Missed,0
Rep. Brad Wenstrup (R-OH-2),OH-02,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. Joyce Beatty (D-OH-3),OH-03,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jim Jordan (R-OH-4),OH-04,R,21%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,Not on committee,Missed,0
Rep. Bob Latta (R-OH-5),OH-05,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Johnson (R-OH-6),OH-06,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bob Gibbs (R-OH-7),OH-07,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Warren Davidson (R-OH-8),OH-08,R,26%,0,0,Missed,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Marcy Kaptur (D-OH-9),OH-09,D,79%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Michael ""Mike"" Turner (R-OH-10)",OH-10,R,14%,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. Marcia Fudge (D-OH-11),OH-11,D,85%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,OH-12,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Tim Ryan (D-OH-13),OH-13,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dave Joyce (R-OH-14),OH-14,R,14%,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Stivers (R-OH-15),OH-15,R,8%,0,0,1,0,0,0,0,0,0,0,Missed,Missed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jim Renacci (R-OH-16),OH-16,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,OK-01,R,11%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Missed,Missed,Missed,Missed,Missed,Missed,0,0,0,0,0,Missed,,,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Markwayne Mullin (R-OK-2),OK-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Frank Lucas (R-OK-3),OK-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom Cole (R-OK-4),OK-04,R,4%,0,0,1,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve Russell (R-OK-5),OK-05,R,12%,0,0,1,0,0,0,0,0,Missed,Missed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Suzanne Bonamici (D-OR-1),OR-01,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Greg Walden (R-OR-2),OR-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Earl Blumenauer (D-OR-3),OR-03,D,93%,Missed,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Pete DeFazio (D-OR-4),OR-04,D,79%,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Kurt Schrader (D-OR-5),OR-05,D,75%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Robert ""Bob"" Brady (D-PA-1)",PA-01,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dwight Evans (D-PA-2),PA-02,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Kelly (R-PA-3),PA-03,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Scott Perry (R-PA-4),PA-04,R,21%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Glenn ""G.T."" Thompson (R-PA-5)",PA-05,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ryan Costello (R-PA-6),PA-06,R,21%,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,PA-07,R,23%,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Brian Fitzpatrick (R-PA-8),PA-08,R,29%,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Shuster (R-PA-9),PA-09,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom Marino (R-PA-10),PA-10,R,3%,0,0,1,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,0,0
Rep. Lou Barletta (R-PA-11),PA-11,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Keith Rothfus (R-PA-12 ,PA-12,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not yet on committee,Not yet on committee,Not yet on committee,Not yet on committee,Not yet on committee,Not on committee,Not yet on committee,0
Rep. Brendan Boyle (D-PA-13),PA-13,D,82%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Doyle (D-PA-14),PA-14,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,PA-15,R,27%,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lloyd Smucker (R-PA-16),PA-16,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Matthew ""Matt"" Cartwright (D-PA-17)",PA-17,D,61%,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Conor Lamb (D-PA-18)*,PA-18,D,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Not on committee,Not on committee,Not on committee,,,,Not on committee,Not on committee
Rep. David Cicilline (D-RI-1),RI-01,D,85%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,Missed,1,1,Not on committee,1,0
Rep. Jim Langevin (D-RI-2),RI-02,D,68%,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark Sanford (R-SC-1),SC-01,R,37%,0,0,1,0,0,1,0,0,0,1,0,0,Missed,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Joe Wilson (R-SC-2),SC-02,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jeff Duncan (R-SC-3),SC-03,R,19%,0,0,1,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,0,1,1,0,Missed,1,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Trey Gowdy (R-SC-4),SC-04,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,0,Missed,Missed
