id,path,name
aclu/elections-api/congress_district:178,congress_districts_113/ga/congress_district_113_ga_06.geojson,GA Congressional District 6
aclu/elections-api/congress_district:179,congress_districts_113/ga/congress_district_113_ga_07.geojson,GA Congressional District 7
aclu/elections-api/congress_district:180,congress_districts_113/ga/congress_district_113_ga_08.geojson,GA Congressional District 8
aclu/elections-api/congress_district:181,congress_districts_113/ga/congress_district_113_ga_09.geojson,GA Congressional District 9
aclu/elections-api/congress_district:182,congress_districts_113/ga/congress_district_113_ga_10.geojson,GA Congressional District 10
aclu/elections-api/congress_district:183,congress_districts_113/ga/congress_district_113_ga_11.geojson,GA Congressional District 11
aclu/elections-api/congress_district:184,congress_districts_113/ga/congress_district_113_ga_12.geojson,GA Congressional District 12
aclu/elections-api/congress_district:185,congress_districts_113/ga/congress_district_113_ga_13.geojson,GA Congressional District 13
aclu/elections-api/congress_district:186,congress_districts_113/ga/congress_district_113_ga_14.geojson,GA Congressional District 14
aclu/elections-api/congress_district:187,congress_districts_113/gu/congress_district_113_gu_98.geojson,GU Delegate District (at Large)
aclu/elections-api/congress_district:188,congress_districts_113/hi/congress_district_113_hi_01.geojson,HI Congressional District 1
aclu/elections-api/congress_district:189,congress_districts_113/hi/congress_district_113_hi_02.geojson,HI Congressional District 2
aclu/elections-api/congress_district:190,congress_districts_113/ia/congress_district_113_ia_01.geojson,IA Congressional District 1
aclu/elections-api/congress_district:191,congress_districts_113/ia/congress_district_113_ia_02.geojson,IA Congressional District 2
aclu/elections-api/congress_district:192,congress_districts_113/ia/congress_district_113_ia_03.geojson,IA Congressional District 3
aclu/elections-api/congress_district:193,congress_districts_113/ia/congress_district_113_ia_04.geojson,IA Congressional District 4
aclu/elections-api/congress_district:194,congress_districts_113/id/congress_district_113_id_01.geojson,ID Congressional District 1
aclu/elections-api/congress_district:195,congress_districts_113/id/congress_district_113_id_02.geojson,ID Congressional District 2
aclu/elections-api/congress_district:196,congress_districts_113/il/congress_district_113_il_01.geojson,IL Congressional District 1
aclu/elections-api/congress_district:197,congress_districts_113/il/congress_district_113_il_02.geojson,IL Congressional District 2
aclu/elections-api/congress_district:198,congress_districts_113/il/congress_district_113_il_03.geojson,IL Congressional District 3
aclu/elections-api/congress_district:199,congress_districts_113/il/congress_district_113_il_04.geojson,IL Congressional District 4
aclu/elections-api/congress_district:200,congress_districts_113/il/congress_district_113_il_05.geojson,IL Congressional District 5
aclu/elections-api/congress_district:201,congress_districts_113/il/congress_district_113_il_06.geojson,IL Congressional District 6
aclu/elections-api/congress_district:202,congress_districts_113/il/congress_district_113_il_07.geojson,IL Congressional District 7
aclu/elections-api/congress_district:203,congress_districts_113/il/congress_district_113_il_08.geojson,IL Congressional District 8
aclu/elections-api/congress_district:204,congress_districts_113/il/congress_district_113_il_09.geojson,IL Congressional District 9
aclu/elections-api/congress_district:205,congress_districts_113/il/congress_district_113_il_10.geojson,IL Congressional District 10
aclu/elections-api/congress_district:206,congress_districts_113/il/congress_district_113_il_11.geojson,IL Congressional District 11
aclu/elections-api/congress_district:207,congress_districts_113/il/congress_district_113_il_12.geojson,IL Congressional District 12
aclu/elections-api/congress_district:208,congress_districts_113/il/congress_district_113_il_13.geojson,IL Congressional District 13
aclu/elections-api/congress_district:209,congress_districts_113/il/congress_district_113_il_14.geojson,IL Congressional District 14
aclu/elections-api/congress_district:210,congress_districts_113/il/congress_district_113_il_15.geojson,IL Congressional District 15
aclu/elections-api/congress_district:211,congress_districts_113/il/congress_district_113_il_16.geojson,IL Congressional District 16
aclu/elections-api/congress_district:212,congress_districts_113/il/congress_district_113_il_17.geojson,IL Congressional District 17
aclu/elections-api/congress_district:213,congress_districts_113/il/congress_district_113_il_18.geojson,IL Congressional District 18
aclu/elections-api/congress_district:214,congress_districts_113/in/congress_district_113_in_01.geojson,IN Congressional District 1
aclu/elections-api/congress_district:215,congress_districts_113/in/congress_district_113_in_02.geojson,IN Congressional District 2
aclu/elections-api/congress_district:216,congress_districts_113/in/congress_district_113_in_03.geojson,IN Congressional District 3
aclu/elections-api/congress_district:217,congress_districts_113/in/congress_district_113_in_04.geojson,IN Congressional District 4
aclu/elections-api/congress_district:218,congress_districts_113/in/congress_district_113_in_05.geojson,IN Congressional District 5
aclu/elections-api/congress_district:219,congress_districts_113/in/congress_district_113_in_06.geojson,IN Congressional District 6
aclu/elections-api/congress_district:220,congress_districts_113/in/congress_district_113_in_07.geojson,IN Congressional District 7
aclu/elections-api/congress_district:221,congress_districts_113/in/congress_district_113_in_08.geojson,IN Congressional District 8
aclu/elections-api/congress_district:222,congress_districts_113/in/congress_district_113_in_09.geojson,IN Congressional District 9
aclu/elections-api/congress_district:223,congress_districts_113/ks/congress_district_113_ks_01.geojson,KS Congressional District 1
aclu/elections-api/congress_district:224,congress_districts_113/ks/congress_district_113_ks_02.geojson,KS Congressional District 2
